,Treatment,Label,newID,Turn_angle,Meander_mean,Ang_Velocity,Rotation_CW,Rotation_CCW
69,High,Light1,Trial     5_C4,61.583,4.503724,1539.572,3.8,3.2
70,High,Light1,Trial     6_A4,69.43864,8.841978,1735.968,5,6.4
71,High,Light1,Trial     6_B2,62.74386,5.812112,1568.596,6.4,7.2
72,High,Light1,Trial     6_C4,87.7628,13.74698,2194.07,7.2,11.4
73,High,Light2,Trial     1_A4,120.0666,24.6714,3001.668,5.2,5.4
74,High,Light2,Trial     1_B1,93.31728,21.26982,2332.93,10,9.6
75,High,Light2,Trial     1_C1,82.89692,13.19484,2072.422,9.4,8.2
76,High,Light2,Trial     2_A2,117.827,56.6974,2945.674,0.2,0.2
77,High,Light2,Trial     2_A3,119.8616,54.47316,2996.548,1.2,0.4
78,High,Light2,Trial     2_B3,79.89168,12.98266,1997.29,6.8,6.8
79,High,Light2,Trial     3_A1,95.6248,10.004492,2390.62,17,23.2
80,High,Light2,Trial     3_B4,119.4246,55.21058,2985.612,0,0
81,High,Light2,Trial     3_C1,120.0256,60.14788,3000.644,0,0.2
82,High,Light2,Trial     4_A4,95.31336,16.48862,2382.834,7.2,9
83,High,Light2,Trial     4_B3,85.63534,15.481678,2140.882,8,8.6
84,High,Light2,Trial     4_C2,87.60836,12.090108,2190.206,3,4.8
85,High,Light2,Trial     5_A1,87.04126,19.19374,2176.032,6,7.4
86,High,Light2,Trial     5_C1,70.59566,6.53302,1764.89,6.2,5.4
87,High,Light2,Trial     5_C4,57.20884,4.537968,1430.22,3.2,1.6
88,High,Light2,Trial     6_A4,64.14396,6.982496,1603.598,2.4,5.4
89,High,Light2,Trial     6_B2,67.28982,10.744656,1682.244,6.8,5
90,High,Light2,Trial     6_C4,103.06718,33.21102,2576.682,5.4,9.4
91,Low,Dark1,Trial     1_A3,NA,NA,NA,4.3,6.4
92,Low,Dark1,Trial     1_B3,116.9557,39.44438,2923.894,2.1,2.6
93,Low,Dark1,Trial     1_B4,117.3622,29.35457,2934.056,18.8,21
94,Low,Dark1,Trial     2_B4,NA,NA,NA,7.9,13.4
95,Low,Dark1,Trial     2_C2,119.492,57.31866,2987.299,0.6,0.2
96,Low,Dark1,Trial     2_C4,108.61551,23.08703,2715.386,15,12.8
97,Low,Dark1,Trial     3_A4,109.16191,45.89772,2729.049,4,6.1
98,Low,Dark1,Trial     3_B1,120.3446667,62.16231111,3008.62,0.111111111,0
99,Low,Dark1,Trial     3_C2,106.02908,30.05268,2650.722,6.5,6.2
100,Low,Dark1,Trial     4_A2,112.2271,40.84901,2805.678,10.4,12
101,Low,Dark1,Trial     4_B2,123.8424,78.19189,3096.061,0,0
102,Low,Dark1,Trial     4_C3,119.7643,44.99066,2994.101,0.4,0.2
103,Low,Dark1,Trial     5_B3,109.16194,30.22636,2729.051,6.5,7.2
104,Low,Dark1,Trial     5_C2,120.9036667,73.94023333,3022.586667,0,0
105,Low,Dark1,Trial     5_C3,118.1649,55.9371,2954.116,0.3,0.5
106,Low,Dark1,Trial     6_A1,105.2813,41.52873,2632.031,2.7,2.7
107,Low,Dark1,Trial     6_B1,112.6757778,42.35726667,2816.896667,6,6.222222222
108,Low,Dark1,Trial     6_B4,115.6591,50.29233,2891.477,1.9,2.3
109,Low,Dark2,Trial     1_A3,NA,NA,NA,11.55555556,13.22222222
110,Low,Dark2,Trial     1_B3,101.66474,33.48593,2541.618,4.6,6
111,Low,Dark2,Trial     1_B4,115.6746,34.39291,2891.866,12.9,16.9
112,Low,Dark2,Trial     2_B4,NA,NA,NA,11.3,13.8
113,Low,Dark2,Trial     2_C2,120.1164,36.36773,3002.912,10,11.5
